,Title,Year,Rated,Release Date,Runtime,Genre,Director,Writer,Actors,Plot,imdbRating,imdbVotes,ID,Season,Episode
155,The Locomotive Manipulation,2014,TV-14,06 Feb 2014,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Maria Ferrari (teleplay), Jim Reynolds (story), Steve Holland (story), Tara Hernandez (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Amy and Sheldon's annual relationship status discussion takes place in the lead up to Valentine's Day. Amy is able to convince Sheldon to go away for Valentine's to a bed & breakfast in Napa as what Amy hopes will be a romantic weekend will include some familiar faces in Howard and Bernadette going as well but more importantly something specifically for Sheldon, namely a trip on a vintage train to Napa. The question becomes whether both Amy and Sheldon will get out of the trip what they want, which on the surface may be incompatible, and especially as Sheldon's gift of the train trip comes first. Meanwhile, Leonard and Penny have decided to have a romantic stay-at-home Valentine's. As such, they agree to dog-sit Cinnamon while Raj has his own solo romantic Valentine's Day star gazing. Their collective Valentine's Day takes a roller coast ride of emotions because of an incident initiated by Cinnamon.",8.4,1956,tt3477310,7,15
131,The Spoiler Alert Segmentation,2013,TV-14,07 Feb 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Maria Ferrari (teleplay), Adam Faberman (teleplay), Chuck Lorre (story), Eric Kaplan (story), Steve Holland (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard moves in with Penny after a fight with Sheldon, which causes Amy to want to move in with Sheldon. Meanwhile, Raj has a frightening experience with Howard's mother.",8.4,1921,tt2633894,6,15
89,The Agreement Dissection,2011,TV-14,28 Apr 2011,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Eric Kaplan (teleplay), Bill Prady (story), David Goetsch (story), Eddie Gorodetsky (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Priya finds a loophole in the roommate agreement to throw Sheldon out for the night, Penny, Amy and Bernadette take him to a nightclub.",8.4,1894,tt1632237,4,21
88,The Herb Garden Germination,2011,TV-14,07 Apr 2011,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Eric Kaplan (story), Eddie Gorodetsky (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Starting with Penny to Amy, a rumor quickly spreads amongst Leonard, Sheldon, Raj and Priya that Bernadette is planning on breaking up with Howard. This rumor is especially of interest to Raj since despite being Howard's best friend, he has always been in love with Bernadette himself. Additional news comes to light directly from Howard, who is planning on asking Bernadette to marry him. Based on the rumor, the rest of gang believe that Howard is in for a major let-down, much to Raj's excitement. But will Howard go through with his plan and if he does, will the rumor prove to be true? Meanwhile, Amy and Sheldon, watching the speed with which the rumor has spread, propose another social science experiment of starting two rumors - one of a salacious nature, and one more mundane - to see how quickly both spread amongst the group.",8.4,1803,tt1632236,4,20
200,The Earworm Reverberation,2015,TV-14,10 Dec 2015,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Jeremy Howe (teleplay), Eric Kaplan (story), Jim Reynolds (story), Saladin K. Patterson (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon doesn't realize that he's humming until Leonard points it out to him. After that, Sheldon, and by association everyone around him, ""descend into madness"" in Sheldon's words as Sheldon tries to figure out the song which he is continually humming. As he racks his brain, he may or may not realize that the song has some special meaning in his life. Being rejected by Sheldon in her attempt to get back together with him, Amy decides to try another date with Dave despite the disaster that was their last date. He promises to keep Sheldon out of their date this time, which may be easier said than done. And Raj has created a fan page for his and Howard's band, Footprints on the Moon, which has received their first fan, Trent Monaco. Finding out what they can about Trent, they seem more enamored of him than he may be of their band.",8.4,1712,tt5143508,9,10
81,The Love Car Displacement,2011,TV-14,20 Jan 2011,21 min,Comedy,Anthony Joseph Rich,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Bill Prady (story), David Goetsch (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny initially declines an invitation from Amy Farrah Fowler, who considers Penny her best friend, to accompany her, Sheldon, Leonard, Howard, Raj and Bernadette to a weekend long science conference at which they'll all be speaking. Penny changes her mind when she learns that the conference is all expenses paid at a four star spa resort in Big Sur. Penny wishes she could change her mind once again when the drive to Big Sur with Leonard, Sheldon and Amy ends up being a nerd's version of a road trip. She probably wouldn't appreciate being in Bernadette, Howard and Raj's car either, the former two who are too happy in love and who demonstrate it in the drive to Big Sur. That love may be in jeopardy when at the conference, Howard meets Bernadette's handsome and 6'7"" tall ex-boyfriend Glenn. An unfortunate comment from Howard to Bernadette about her former relationship with Glenn sets off a series of musical beds and musical bedrooms between the seven which culminates in a no holds barred airing of all their feelings at the conference's panel discussion.",8.4,1627,tt1632228,4,13
5,The Luminous Fish Effect,2007,TV-14,15 Oct 2007,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), David Litt (teleplay), Lee Aronsohn (teleplay), Chuck Lorre (story), Bill Prady (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon's mother is called to intervene when he delves into numerous obsessions after being fired for being disrespectful to his new boss.,8.3,2604,tt1091291,1,4
8,The Dumpling Paradox,2007,TV-14,05 Nov 2007,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Jennifer Glickman (teleplay), Chuck Lorre (story), Bill Prady (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Howard hooks up with Penny's old friend, his absence in the gang causes problems for the rest of the guys.",8.3,2405,tt1136041,1,7
12,The Pancake Batter Anomaly,2008,TV-14,31 Mar 2008,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Stephen Engel (teleplay), Chuck Lorre (story), Lee Aronsohn (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Sheldon gets sick, Leonard, Howard and Raj go AWOL, leaving a reluctant Penny to deal with him.",8.3,2377,tt1127385,1,11
15,The Nerdvana Annihilation,2008,TV-14,28 Apr 2008,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Stephen Engel (teleplay), Steven Molaro (teleplay), Bill Prady (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny gets mad at the guys when their full scale model of a time machine causes her to miss work, which prompts Leonard to give up all of his nerd memorabilia.",8.3,2294,tt1127905,1,14
28,The Lizard-Spock Expansion,2008,TV-14,17 Nov 2008,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), David Goetsch (teleplay), Jennifer Glickman (teleplay), Bill Prady (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Leonard and Howard's friendship is jeopardised when Leonard steals a girl from Howard.,8.3,2139,tt1256039,2,8
22,The Codpiece Topology,2008,TV-14,29 Sep 2008,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Lee Aronsohn (teleplay), Chuck Lorre (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon is annoyed when Leonard turns to Leslie for comfort after seeing Penny with another guy.,8.3,2129,tt1256030,2,2
29,The White Asparagus Triangulation,2008,TV-14,24 Nov 2008,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Stephen Engel (teleplay), Richard Rosenstock (teleplay), David Goetsch (story), Steven Molaro (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon believes that Leonard will wreck his relationship with Stephanie, so he decides to take matters into his own hands.",8.3,2099,tt1256040,2,9
38,The Work Song Nanocluster,2009,TV-14,16 Mar 2009,20 min,"Comedy, Romance",Peter Chakos,"Chuck Lorre (created by), Bill Prady (created by), David Goetsch (teleplay), Richard Rosenstock (teleplay), Bill Prady (story), Lee Aronsohn (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon's assistance with Penny's home-based business leads to disaster.,8.3,2078,tt1256028,2,18
66,The Plimpton Stimulation,2010,TV-14,10 May 2010,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Bill Prady (story), Lee Aronsohn (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Chaos ensues when a nymphomaniac physicist visiting Sheldon hooks up with Leonard.,8.3,2066,tt1648755,3,21
36,The Cushion Saturation,2009,TV-14,02 May 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Lee Aronsohn (teleplay), Chuck Lorre (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Howard hooks up with Leslie, while Penny accidentally ruins Sheldon's spot on the couch.",8.3,2064,tt1256026,2,16
105,The Recombination Hypothesis,2012,TV-14,19 Jan 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Chuck Lorre (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Leonard and Penny contemplate reviving their romantic relationship.,8.3,2012,tt2139151,5,13
112,The Transporter Malfunction,2012,TV-PG,29 Mar 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Bill Prady (story), Maria Ferrari (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Raj gets quite a surprise when he asks his parents to set him up on a date. Penny buys Leonard and Sheldon a pair of Star Trek keepsake collectibles.,8.3,1968,tt2275201,5,20
101,The Ornithophobia Diffusion,2011,TV-14,10 Nov 2011,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Eric Kaplan (teleplay), Chuck Lorre (story), David Goetsch (story), Anthony Del Broccolo (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon tries to overcome his fear of birds, while Leonard and Penny attempt to hang out together strictly as friends.",8.3,1951,tt2100287,5,9
75,The Apology Insufficiency,2010,TV-14,04 Nov 2010,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Lee Aronsohn (story), Maria Ferrari (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",An FBI agent interviews the guys when Howard needs to obtain a security clearance.,8.3,1944,tt1632244,4,7
86,The Prestidigitation Approximation,2011,TV-14,10 Mar 2011,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Eric Kaplan (teleplay), Bill Prady (story), Steve Holland (story), Eddie Gorodetsky (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Priya forces Leonard to choose between a relationship with her or a friendship with Penny. A magic trick by Howard has Sheldon fooled.,8.3,1931,tt1632233,4,18
76,The 21-Second Excitation,2010,TV-14,11 Nov 2010,19 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Bill Prady (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","The guys camp out all night waiting to see an extended cut of Indiana Jones, while Amy joins in on girls' night with Penny and Bernadette.",8.3,1904,tt1632245,4,8
151,The Cooper Extraction,2013,TV-14,12 Dec 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Jim Reynolds (teleplay), Steve Holland (teleplay), Tara Hernandez (teleplay), Steven Molaro (story), Eric Kaplan (story), Maria Ferrari (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","While Sheldon is at home in Texas, the rest of the gang decorate for Christmas and think about how much he has affected their lives.",8.3,1898,tt3337724,7,11
65,The Spaghetti Catalyst,2010,TV-14,03 May 2010,20 min,"Comedy, Romance",Anthony Rich,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre, Bill Prady, Lee Aronsohn, Steven Molaro, Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon is forced to go behind Leonard's back to spend time with Penny following their breakup.,8.3,1893,tt1628617,3,20
111,The Weekend Vortex,2012,TV-14,08 Mar 2012,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Bill Prady (story), Tara Hernandez (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon has to choose between joining Amy at her aunt's birthday party or playing videogames all weekend with the guys.,8.3,1847,tt2275203,5,19
115,The Launch Acceleration,2012,TV-14,03 May 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steve Holland (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Steven Molaro (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","NASA cancel, and later reinstate Howard's mission into space, coinciding with his wedding. Leonard inadvertently jeopardizes his relationship with Penny.",8.3,1794,tt2372043,5,23
159,The Indecision Amalgamation,2014,TV-14,03 Apr 2014,19 min,"Comedy, Romance",Anthony Rich,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), David Goetsch (teleplay), Steve Holland (teleplay), Bill Prady (story), Eric Kaplan (story), Jim Reynolds (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny returns from what she believes was a promising audition for a role she actually wants. Her anticipation turns to disappointment when the telephone call she receives is the offer once again for the cheesy horror movie role she was earlier offered but turned down since she thought it was beneath her. Although she asks Leonard for advice about whether to take the horror movie role, Penny may get the most useful advice from someone's who been there: Wil Wheaton. Meanwhile, Raj runs into Emily, the woman he met online, with Amy being the intermediary in their one and only face-to-face encounter. Despite that first date being a disaster, Raj is able to convince Emily to give him another chance. Immediately following, Raj receives a message from Lucy, asking to meet. Raj has to figure out what to do about his upcoming date with Emily considering Lucy's message. Sheldon is having a major conundrum about whether to purchase a Xbox One or PS4 as his next gaming system. This dilemma by association affects Amy the most. And Bernadette makes an innocent but major gaffe at work concerning signing what she believed was a retirement card for a colleague but which turned out to be for something completely different.",8.3,1770,tt3521964,7,19
11,The Loobenfeld Decay,2008,TV-14,24 Mar 2008,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Lee Aronsohn (teleplay), Chuck Lorre (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard lies to Penny so that he and Sheldon can get out of watching her perform. However, Sheldon believes that the lie has too many loose ends, so he comes up with a new, unnecessarily complex one to replace it.",8.2,2391,tt1127384,1,10
10,The Cooper-Hofstadter Polarization,2008,TV-14,17 Mar 2008,20 min,"Comedy, Romance",Joel Murray,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Lee Aronsohn (teleplay), David Goetsch (teleplay), Bill Prady (story), Stephen Engel (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard and Sheldon's friendship is put to the test when Leonard wants to present a paper they co-authored at a physics convention, but Sheldon doesn't.",8.2,2330,tt1127390,1,9
93,The Skank Reflex Analysis,2011,TV-14,22 Sep 2011,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Bill Prady (teleplay), Steven Molaro (teleplay), Eric Kaplan (story), Maria Ferrari (story), Anthony Del Broccolo (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","In the aftermath of Raj and Penny's night together from which Raj believes he's in love with her, everyone seems to be mad at Raj. Although he has no intention of getting back together with Penny despite Priya having moved back to India, Leonard is mad at Raj for sleeping with his old girlfriend. Leonard turns to an unlikely source for advice about his feelings. Howard is mad at Raj for taking his supposed place as second in line (after Leonard) in Penny's loins. Howard is also mad at Raj when it comes to light that Raj fantasized about Bernadette. And Bernadette is mad a Raj for making Howard think that there was something going on between them. While Penny takes refuge away from the guys at Amy's, she contemplates her future, which includes thoughts of moving back to Nebraska since her acting career is no career at all. Ultimately, Penny and Raj need to discuss what happened, which Penny finds out is not quite what she thought. Through it all, Sheldon can only think about his leadership in the upcoming paint-ball battle against the geology department. Sheldon's actions may unwittingly bring the friends back together.",8.2,2328,tt1980710,5,1
33,The Friendship Algorithm,2009,TV-14,19 Jan 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Bill Prady (story), Richard Rosenstock (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon tries to make friends with Kripke in the hope that it will get him access to a coveted computer at the university.,8.2,2066,tt1256023,2,13
34,The Financial Permeability,2009,TV-14,02 Mar 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Richard Rosenstock (teleplay), Eric Kaplan (teleplay), Chuck Lorre (story), Steven Molaro (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Leonard and Sheldon try to help out Penny when she can't afford to pay her rent.,8.2,2036,tt1256024,2,14
49,The Pirate Solution,2009,TV-14,12 Oct 2009,30 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steve Holland, Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Raj has to find a new job or be sent back to India, Sheldon's solution leaves Leonard and Penny dealing with Howard as the third wheel.",8.2,2031,tt1523181,3,4
94,The Infestation Hypothesis,2011,TV-14,22 Sep 2011,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Jim Reynolds (teleplay), Steve Holland (teleplay), Bill Prady (story), Steven Molaro (story), Maria Ferrari (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Amy gets inadvertently caught in the middle of a fight between Sheldon and Penny over a chair. Leonard tries to add some spice to his long-distance relationship with Priya.,8.2,2022,tt2033019,5,2
40,The Hofstadter Isotope,2009,TV-14,13 Apr 2009,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Leonard is so upset when a friend from the comic book store begins dating Penny that he convinces Howard and Raj to take him to a bar so that he can pick up a woman of his own.,8.2,2018,tt1256031,2,20
72,The Hot Troll Deviation,2010,TV-14,14 Oct 2010,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Lee Aronsohn (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Steven Molaro (story), Adam Faberman (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Howard tries to get Penny's help in winning back Bernadette, but first has to confess the embarrassing reason why they broke up in the first place. Raj and Sheldon clash over a desk.",8.2,1987,tt1632241,4,4
58,The Bozeman Reaction,2010,TV-14,18 Jan 2010,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Bill Prady (story), Lee Aronsohn (story), Jim Reynolds (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When their apartment is robbed, Leonard and Sheldon turn to Howard and Raj to create a state-of-the-art security system.",8.2,1945,tt1570312,3,13
126,The Fish Guts Displacement,2012,TV-PG,06 Dec 2012,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Jim Reynolds (teleplay), Chuck Lorre (story), Bill Prady (story), Tara Hernandez (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Howard tries to bond with Bernadette's father during a fishing trip. When Sheldon is obligated to take care of a sick Amy, she finds ways to take advantage of the situation.",8.2,1927,tt2523744,6,10
74,The Irish Pub Formulation,2010,TV-14,28 Oct 2010,25 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Eric Kaplan (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Lee Aronsohn (story), Steven Molaro (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard tries to keep everyone from finding out that he spent the night with Raj's sister, but Sheldon finds out and concocts an elaborate story to help him keep the secret from Raj.",8.2,1914,tt1632243,4,6
121,The Holographic Excitation,2012,TV-14,25 Oct 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Eric Kaplan (story), Jeremy Howe (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","While Raj plans Stuart's Halloween party at the comic book store, Howard annoys the rest of the gang by constantly talking about space, and Penny tries to take more of an interest in Leonard's work.",8.2,1910,tt2411582,6,5
97,The Russian Rocket Reaction,2011,TV-14,13 Oct 2011,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Eric Kaplan (teleplay), Maria Ferrari (teleplay), Bill Prady (story), Steven Molaro (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon takes offense when Leonard wants to attend a party with Wil Wheaton, while Bernadette tries to block Howard's opportunity to go into outer space.",8.2,1907,tt2063481,5,5
139,The Love Spell Potential,2013,TV-PG,09 May 2013,21 min,"Comedy, Romance",Anthony Rich,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Jim Reynolds (story), Maria Ferrari (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","A date between Raj and Lucy takes both of them out of their comfort zones. After a trip to Las Vegas goes awry, the girls join in on a Dungeons and Dragons game, which causes Amy and Sheldon to re-evaluate their relationship.",8.2,1904,tt2852720,6,23
60,The Large Hadron Collision,2010,TV-14,08 Feb 2010,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Richard Rosenstock (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Steven Molaro (story), Jim Reynolds (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Leonard is offered a trip to Switzerland on Valentine's Day to visit the CERN laboratory, Sheldon uses any and all means to be his guest instead of Penny.",8.2,1890,tt1589887,3,15
136,The Tenure Turbulence,2013,TV-14,04 Apr 2013,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steve Holland (teleplay), Jim Reynolds (teleplay), Steven Molaro (story), Eric Kaplan (story), Maria Ferrari (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard, Sheldon, Raj and Kripke battle for tenure at the university.",8.2,1857,tt2784494,6,20
87,The Zarnecki Incursion,2011,TV-14,31 Mar 2011,23 min,"Comedy, Romance",Peter Chakos,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), David Goetsch (teleplay), Jim Reynolds (teleplay), Chuck Lorre (story), Steven Molaro (story), Maria Ferrari (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","The guys go all out to help Sheldon find the person responsible for hacking his online gaming account, while the girls' hatred for Priya increases.",8.2,1847,tt1632234,4,19
91,The Engagement Reaction,2011,TV-14,12 May 2011,20 min,"Comedy, Romance",Howard Murray,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Bill Prady (story), Eric Kaplan (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Howard believes that his mom suffered a heart attack because he told her that he's marrying Bernadette, Sheldon freaks out over germs, and Penny and Priya bond.",8.2,1821,tt1632239,4,23
160,The Relationship Diremption,2014,TV-14,10 Apr 2014,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Eric Kaplan (teleplay), Steve Holland (teleplay), Steven Molaro (story), Bill Prady (story), Jim Reynolds (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny tries to help Sheldon when he reconsiders his ""relationship"" with String Theory. During a dinner with Howard and Bernadette, Raj discovers Howard once embarrassed himself on a date with Emily.",8.2,1697,tt3554854,7,20
222,The Brain Bowl Incubation,2016,TV-PG,10 Nov 2016,18 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Maria Ferrari (teleplay), Tara Hernandez (teleplay), Chuck Lorre (story), Steve Holland (story), Saladin K. Patterson (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Despite the parts that he doesn't like about it, Amy is able to convince Sheldon to take a skin sample from him so that she can develop a brain cell from a combination of both his and hers. Sheldon is so enamored with the result of Amy's experiment that he proposes something else that shocks Amy. Sheldon does whatever he can to convince Amy to go along - those measures which would normally excite her - but she resists to the best of her ability if only because of what the end result would be. Meanwhile, Raj has met a woman, Issabella, at the university to who he is attracted, and who he would like to start dating. Beyond that physical and emotional attraction he has to her, there is one aspect of her being about which he may not be able to overcome and which colors what he says about her to his friends.",8.2,1155,tt6189462,10,8
6,The Hamburger Postulate,2007,TV-14,22 Oct 2007,21 min,"Comedy, Romance",Andrew D. Weyman,"Chuck Lorre (created by), Bill Prady (created by), David Goetsch (teleplay), Steven Molaro (teleplay), Jennifer Glickman (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leslie seduces Leonard, but afterwards tells him that she is only interested in a one-night stand.",8.1,2444,tt1091292,1,5
